jvm;options;iteration;exitcode;duration;DRAM;CPU
8.282.08.1-amzn;deafult;2;0;23683414;311333564;1130122778
16.0.0-zulu;deafult;2;0;19132554;248517610;876765028
16.0.0.fx-zulu;deafult;2;0;19000310;246838556;875553239
15.0.2.fx-zulu;deafult;2;0;20466317;265207843;938709145
11.0.11-zulu;deafult;2;0;18366508;238062247;845492343
11.0.10-zulu;deafult;2;0;19809461;259059340;912477889
11.0.10.fx-zulu;deafult;2;0;19724138;256278595;905123720
8.0.292-zulu;deafult;2;0;23648087;307692838;1093422189
8.0.282-zulu;deafult;2;0;23656604;309455704;1101969042
8.0.282.fx-zulu;deafult;2;0;23847605;310924811;1118594792
7.0.302-zulu;deafult;2;0;23752864;311185890;1112167135
7.0.292-zulu;deafult;2;0;23732994;310016266;1101213734
6.0.119-zulu;deafult;2;0;19550476;253243214;900308914
16.0.1.fx-librca;deafult;2;0;19095194;247665445;877133863
16.0.1-librca;deafult;2;0;18984179;246351528;869513094
16.0.0.fx-librca;deafult;2;0;19072411;247447482;874375935
16.0.0-librca;deafult;2;0;19206500;249018699;892567905
11.0.11.fx-librca;deafult;2;0;19055567;247068591;872686304
11.0.11-librca;deafult;2;0;19043745;248559501;880348820
11.0.10.fx-librca;deafult;2;0;20329172;264969287;939254187
11.0.10-librca;deafult;2;0;19697106;257208697;908573603
8.0.292.fx-librca;deafult;2;0;23620107;308095412;1115674269
8.0.292-librca;deafult;2;0;23731505;308744253;1098644649
8.0.282.fx-librca;deafult;2;0;23823751;310850513;1111549279
8.0.282-librca;deafult;2;0;23692762;312155940;1101404773
21.1.0.r16-grl;deafult;2;0;24809240;324160596;1160669086
21.1.0.r11-grl;deafult;2;0;24718624;322806423;1132954315
21.1.0.r8-grl;deafult;2;0;24933324;326014848;1189052254
21.0.0.2.r11-grl;deafult;2;0;24824007;323420351;1138073197
21.0.0.2.r8-grl;deafult;2;0;24836977;322970592;1169314451
20.3.2.r11-grl;deafult;2;0;24731799;322481635;1135453209
20.3.2.r8-grl;deafult;2;0;24776335;324319791;1186901808
20.3.1.2.r11-grl;deafult;2;0;24731655;322337707;1145888729
20.3.1.2.r8-grl;deafult;2;0;24816369;322777858;1165317756
19.3.6.r11-grl;deafult;2;0;24786400;322403406;1145391172
19.3.6.r8-grl;deafult;2;0;25017941;325375966;1176154827
19.3.5.r11-grl;deafult;2;0;24905011;326887988;1150829267
19.3.5.r8-grl;deafult;2;0;24971967;325627054;1179435091
17.ea.19-open;deafult;2;0;19086952;246889078;878945625
