jvm;options;iteration;exitcode;duration;DRAM;CPU
15.0.1.j9-adpt; -Xgcpolicy:gencon;1;0;44520055;599460395;2033938581
15.0.1.j9-adpt; -Xgcpolicy:metronome;1;0;49031293;661207477;2185117086
15.0.1.j9-adpt; -Xgcpolicy:nogc;1;0;44470832;599625422;2033901532
15.0.1.j9-adpt; -Xgcpolicy:optavgpause;1;0;43828982;594636291;2031458118
15.0.1.j9-adpt; -Xgcpolicy:optthruput;1;0;44470860;599065334;2051913570
15.0.1-open; -XX:+UseG1GC;1;0;39430576;529664167;1828713519
15.0.1-open; -XX:ParallelGCThreads=5;1;0;41281531;555101305;1828359516
15.0.1-open; -XX:ConcGCThreads=5;1;0;40398401;546244073;1842412580
15.0.1-open; -XX:ParallelGCThreads=1;1;0;40379231;547072369;1872556913
15.0.1-open; -XX:ConcGCThreads=1;1;0;39847044;537543621;1802159083
15.0.1-open; -XX:+DisableExplicitGC;1;0;39706611;534086326;1822698336
15.0.1-open; -XX:+UseParallelGC;1;0;39620922;534081827;1824317413
15.0.1-open; -XX:+UseParallelOldGC;1;0;39720757;534148949;1810823856
15.0.1-open; -XX:+UseSerialGC;1;0;39567288;532124575;1819770915
15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+UseEpsilonGC -XX:+AlwaysPreTouch;1;0;40165787;541133413;1844997352
16.0.0.j9-adpt;default;2;0;44847218;606765289;2059071266
16.0.0.hs-adpt;default;2;0;39622545;530402345;1811951722
11.0.11.j9-adpt;default;2;0;43849625;588053236;2014231904
11.0.11.hs-adpt;default;2;0;39545714;528019724;1805667497
11.0.10.j9-adpt;default;2;0;44413624;596212037;2036001075
11.0.10.hs-adpt;default;2;0;39595680;528104790;1827665548
8.0.292.j9-adpt;default;2;0;63578870;853869760;2877768023
8.0.292.hs-adpt;default;2;0;60117302;808372011;2667488961
8.0.282.j9-adpt;default;2;0;63807790;857566041;2869882363
8.0.282.hs-adpt;default;2;0;58633393;788775144;2660973596
11.0.9.4-albba;default;2;0;39555017;529813908;1815528190
8.5.5-albba;default;2;0;39437969;528838624;1811228823
16.0.1.9.1-amzn;default;2;0;58675253;785976253;2641962780
16.0.0.36.1-amzn;default;2;0;58552191;786807871;2631522133
15.0.2.7.1-amzn;default;2;0;58165085;781200237;2617378065
11.0.11.9.1-amzn;default;2;0;58631644;787258945;2650125662
11.0.10.9.1-amzn;default;2;0;58456665;782300383;2638956256
8.292.10.1-amzn;default;2;0;58734442;789278346;2632957494
8.282.08.1-amzn;default;2;0;58686638;789602400;2649820120
16.0.0-zulu;default;2;0;39532294;533214578;1828708393
16.0.0.fx-zulu;default;2;0;39590403;531789322;1850345605
