jvm;options;iteration;exitcode;duration;DRAM;CPU
15.0.1.j9-adpt; -Xjit:count=10;2;0;16829716;219347716;806526745
15.0.1.j9-adpt; -Xjit:count=100;2;0;18476497;239044169;849015160
15.0.1.j9-adpt; -Xjit:optlevel=cold;2;0;23722188;309820410;1110430873
15.0.1.j9-adpt; -Xjit:optlevel=warm;2;0;16001129;208167103;770815959
15.0.1.j9-adpt; -Xjit:optlevel=hot;2;0;25245309;329289201;1165702094
15.0.1.j9-adpt; -Xjit:optlevel=veryhot;2;0;25313272;333433465;1198918256
15.0.1.j9-adpt; -Xjit:optlevel=scorching;2;0;25434218;332380016;1209068926
15.0.1-open; -XX:-TieredCompilation;2;0;20303288;265171797;946548175
15.0.1-open; -XX:TieredStopAtLevel=1;2;0;14970853;191350552;691523559
15.0.1-open; -XX:TieredStopAtLevel=2;2;0;25959947;338427800;1239780945
15.0.1-open; -XX:TieredStopAtLevel=3;2;0;38631758;504578073;1882481997
15.0.1-open; -XX:TieredStopAtLevel=4;2;0;20297851;262957613;935085435
15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;2;0;20504196;265169991;942906216
20.2.0.r11-grl; -XX:+UseG1GC;2;0;25024708;324308851;1153875403
20.2.0.r11-grl; -XX:ParallelGCThreads=5;2;0;25014843;326165353;1168447571
20.2.0.r11-grl; -XX:ConcGCThreads=5;2;0;25057730;325878143;1148797902
20.2.0.r11-grl; -XX:ParallelGCThreads=1;2;0;24917625;325131472;1163430554
20.2.0.r11-grl; -XX:ConcGCThreads=1;2;0;25134598;326816063;1150524643
20.2.0.r11-grl; -XX:+DisableExplicitGC;2;0;24956791;322321382;1162126541
20.2.0.r11-grl; -XX:+UseParallelGC;2;0;25231223;327476227;1169002989
20.2.0.r11-grl; -XX:+UseParallelOldGC;2;0;24730641;322064236;1143330752
20.2.0.r11-grl; -XX:MaxGCPauseMillis=5000 -XX:GCTimeRatio=2;2;0;25105399;328127013;1158552760
15.0.1.j9-adpt; -Xgc:concurrentScavenge;2;0;17123572;219423910;788555903
15.0.1.j9-adpt; -Xgc:scvNoAdaptiveTenure;2;0;17429984;223763771;797380100
15.0.1.j9-adpt; -Xgcpolicy:balanced;2;0;17225731;222847515;789981315
15.0.1.j9-adpt; -Xgcpolicy:gencon;2;0;17232719;221917672;800030973
15.0.1.j9-adpt; -Xgcpolicy:metronome;2;0;17562810;231342624;861893851
15.0.1.j9-adpt; -Xgcpolicy:nogc;2;0;16982822;218321423;793974713
15.0.1.j9-adpt; -Xgcpolicy:optavgpause;2;0;17000350;217751375;792074998
15.0.1.j9-adpt; -Xgcpolicy:optthruput;2;0;17210404;221480536;791608325
15.0.1-open; -XX:+UseG1GC;2;0;20473846;266101241;948844434
15.0.1-open; -XX:ParallelGCThreads=5;2;0;20356749;263287388;936246077
15.0.1-open; -XX:ConcGCThreads=5;2;0;20355563;264443487;953486206
15.0.1-open; -XX:ParallelGCThreads=1;2;0;20278826;263120418;945432760
15.0.1-open; -XX:ConcGCThreads=1;2;0;20355868;263762331;928596866
15.0.1-open; -XX:+DisableExplicitGC;2;0;20426380;263728533;948697034
15.0.1-open; -XX:+UseParallelGC;2;0;20395162;263031251;929729308
15.0.1-open; -XX:+UseParallelOldGC;2;0;20298210;263295283;933731069
15.0.1-open; -XX:+UseSerialGC;2;0;20402057;266199238;944252343
15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+UseEpsilonGC -XX:+AlwaysPreTouch;2;0;20807390;271088659;958005238
16.0.0.j9-adpt;deafult;3;0;17307994;222521303;794884073
16.0.0.hs-adpt;deafult;3;0;19021369;244620317;871028837
11.0.11.j9-adpt;deafult;3;0;17032811;219190401;793814253
11.0.11.hs-adpt;deafult;3;0;18390618;238622151;863093555
11.0.10.j9-adpt;deafult;3;0;16990582;219923714;793926739
11.0.10.hs-adpt;deafult;3;0;20361461;264467049;948432142
8.0.292.j9-adpt;deafult;3;0;17235918;222716407;828618789
8.0.292.hs-adpt;deafult;3;0;23573191;307886843;1113114460
8.0.282.j9-adpt;deafult;3;0;17256241;222232637;786150576
8.0.282.hs-adpt;deafult;3;0;23611479;307610186;1112271200
11.0.9.4-albba;deafult;3;0;20273421;262991716;950007517
8.5.5-albba;deafult;3;0;23625437;308501642;1135079003
16.0.1.9.1-amzn;deafult;3;0;19135587;246125011;868625950
16.0.0.36.1-amzn;deafult;3;0;18978595;244611657;888943769
